Hour,AvgMean,Count
1,33.690023943758945,2143
2,30.517621229622943,2143
3,28.35306717257101,2143
4,27.01826763461671,2143
5,26.40797717310649,2143
6,27.361229469947904,2143
7,30.963694223663776,2143
8,37.65410065558471,2143
9,48.08718435164431,2143
10,60.87026001545252,2143
11,68.78018405330354,2143
12,70.17027607995533,2143
13,68.89138866152092,2143
14,71.38313074210353,2143
15,71.63633790534182,2143
16,71.28095285450915,2143
17,71.47778126266992,2143
18,70.1327769405537,2143
19,69.72363700343475,2143
20,67.83722833778295,2143
21,61.71421249512327,2143
22,51.56760478263198,2143
23,42.96494113507187,2143
24,37.07252740527681,2143
